complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,9,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.58,1,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.54,7,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.68,4,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.79,9,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.7,1,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.71,5,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,20,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,4,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.55,9,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,6,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.56,7,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.61,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,7,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,15,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,3,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,3,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.72,13,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.74,1,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,1,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,23,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,6,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.44,10,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,5,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.55,8,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,2,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.67,8,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,0,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.67,7,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.54,7,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.45,8,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.8,2,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.79,3,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,18,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.48,3,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.94,3,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.86,2,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,22,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,2,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,1,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.92,21,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.43,3,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.84,10,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.88,7,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.8,17,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.68,5,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,4,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.42,10,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,22,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.57,4,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.4,4,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,1,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.43,2,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.88,16,2,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.95,20,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.36,2,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.87,5,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.34,6,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.62,3,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.5,5,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.73,4,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,12,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,10,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,20,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,17,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,10,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,8,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,10,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.38,8,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.7,24,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.54,6,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,22,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.5,0,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.5,0,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,8,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,20,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.85,0,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,17,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,4,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.85,7,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.88,7,1,1
"Color mismatch in my order, very upset",color_mismatch,english,0.54,6,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.43,7,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.85,0,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,22,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.84,11,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.64,22,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,16,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.74,9,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.6,0,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,2,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.49,2,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,7,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.91,22,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.78,0,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.71,4,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.83,10,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.64,18,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.85,18,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.7,5,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.44,8,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,3,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.43,1,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.41,4,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.35,5,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,8,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,14,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.7,22,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.82,8,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.72,6,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.93,17,1,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,22,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.61,1,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.42,6,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.74,1,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,9,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,13,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.87,25,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,11,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,8,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.55,10,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.61,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,4,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,4,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.61,0,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,4,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,2,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.35,0,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.89,5,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.42,1,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.94,18,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,9,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.48,9,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.32,1,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,15,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.48,8,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.69,2,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.43,7,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,0,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,1,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,16,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.72,6,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.73,3,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.65,7,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,20,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.85,3,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.68,9,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,20,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,9,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.55,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,23,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.91,24,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.8,4,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,14,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.74,8,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.56,1,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,13,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.6,3,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.33,0,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.76,12,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.55,8,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.87,9,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,14,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,6,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.37,9,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.86,6,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.9,14,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.79,23,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,1,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.33,4,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.66,1,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,3,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.6,8,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,12,1,1
"Color mismatch in my order, very upset",color_mismatch,english,0.66,6,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.95,3,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,13,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,17,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,0,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.76,4,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,1,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.35,9,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.9,9,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,2,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.62,5,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.6,6,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.45,10,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.46,5,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,6,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,18,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.64,5,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,2,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.76,5,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,18,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.7,14,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.79,18,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.9,7,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.85,13,2,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.68,3,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.73,12,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,20,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.63,2,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.37,2,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.77,6,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,2,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.45,4,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.66,7,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.86,20,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.45,3,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,4,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.38,1,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.69,4,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.63,0,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.54,0,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.43,2,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.58,4,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,12,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,9,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.89,8,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.87,25,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.5,0,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,17,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.61,0,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,15,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.74,9,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,8,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,10,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.49,1,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,10,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.79,7,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,9,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,13,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.53,9,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.7,10,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,4,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,8,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.71,9,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.8,3,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.68,18,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,1,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,13,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.92,4,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,22,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.6,9,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.88,8,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.41,8,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.85,0,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.86,16,2,1
"Color mismatch in my order, very upset",color_mismatch,english,0.68,4,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.89,9,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.51,4,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.87,21,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,19,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,19,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,2,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,9,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.62,0,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.58,9,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.52,10,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.47,8,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.42,7,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.55,5,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.76,5,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.54,3,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.64,3,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.63,12,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.61,9,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.45,1,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.51,2,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.33,1,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.94,23,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.45,2,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.42,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.82,18,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.74,24,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.68,5,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.82,0,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.46,4,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,17,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.68,10,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.83,4,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,0,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.5,4,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.59,9,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.82,7,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,7,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,12,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.67,8,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.7,2,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.76,0,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.5,9,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.6,6,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,11,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,0,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,17,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.55,6,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.7,21,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.82,0,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.48,10,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.8,8,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.5,10,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.87,4,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.54,8,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.68,18,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,13,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.86,22,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.67,1,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.84,18,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.76,3,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,8,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.55,5,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.54,9,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.67,8,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.75,3,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.92,11,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.72,14,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.89,8,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.9,12,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.63,3,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,25,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,14,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,6,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.73,9,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.62,3,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.51,2,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.62,7,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.63,10,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.43,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,13,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,20,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.65,6,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,5,1,0
