complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,14,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,0,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.8,1,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.58,9,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.64,2,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,0,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,10,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.66,5,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,21,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.78,3,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,7,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,2,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.37,2,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,10,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,15,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,9,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,24,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.67,6,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,3,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.53,5,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,3,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,7,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.78,1,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.48,5,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,9,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.58,4,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,21,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,14,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.39,7,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.54,8,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.46,4,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.93,17,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.67,15,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.92,11,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,19,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,11,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.55,9,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,9,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.68,7,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.55,10,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,10,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.49,9,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.63,9,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.88,20,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,17,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.37,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,12,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.84,4,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.57,2,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,4,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,6,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.33,6,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,19,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.48,4,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,4,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,8,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,18,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.65,2,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.52,2,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.53,3,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.62,10,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.64,24,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.45,3,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.45,2,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,1,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.87,8,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.62,10,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,24,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.76,1,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,1,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,5,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.87,15,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,21,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.61,9,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.87,7,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.45,7,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.68,8,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.7,7,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.41,1,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.58,5,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,8,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.84,5,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.51,8,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.9,6,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,9,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.69,4,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.83,5,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.7,20,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.35,3,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.65,22,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.61,5,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,9,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.76,7,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,1,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.43,3,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.66,19,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.75,7,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.31,10,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.55,7,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,3,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.48,9,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.71,24,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.82,7,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.84,2,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.93,8,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.67,2,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.32,6,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,2,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.78,7,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.64,1,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,17,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.35,5,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,8,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,6,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.74,9,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.68,2,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.74,22,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.51,6,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,13,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,15,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.93,14,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.87,12,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.84,1,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.37,10,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.93,8,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.57,10,1,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,9,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.71,17,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,18,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.66,19,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.59,3,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.59,10,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.78,19,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,1,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.74,10,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.3,5,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.8,10,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,13,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,6,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.67,4,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,1,1,1
"Color mismatch in my order, very upset",color_mismatch,english,0.51,9,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.78,20,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.75,1,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.87,21,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.56,4,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.93,16,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.79,2,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,24,1,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.54,5,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.51,10,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.87,23,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,3,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.5,4,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,11,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.81,8,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,4,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.71,8,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.7,2,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.74,2,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.54,10,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.75,2,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.86,13,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,13,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.72,8,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.48,6,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,8,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.67,2,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.69,5,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.54,1,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.72,3,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.61,22,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.63,6,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,0,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.83,0,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.66,1,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.42,5,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.78,7,1,1
"Return request ignored completely, no one responding",return_not_picked,english,0.61,6,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.31,10,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.53,1,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,7,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.94,17,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,7,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,8,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,18,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,6,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.63,10,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.42,1,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.8,7,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.57,10,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.54,1,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.62,5,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.9,0,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,18,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.63,9,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,9,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.78,23,2,1
"Return request ignored completely, no one responding",return_not_picked,english,0.62,23,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,4,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,15,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,10,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.76,19,1,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.61,7,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.69,3,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,5,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.47,9,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.7,13,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.77,2,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.41,8,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.51,4,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.64,8,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.77,10,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,5,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.58,10,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.61,4,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.52,3,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.48,3,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,5,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,16,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.64,9,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,11,1,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,3,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,6,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.95,21,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.64,7,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,10,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.53,3,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,5,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,24,1,1
"Color mismatch in my order, very upset",color_mismatch,english,0.58,2,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,14,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,18,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.3,8,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,21,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.65,10,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.43,9,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,25,2,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,1,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.74,3,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.69,8,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.63,12,1,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.63,4,3,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,5,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.43,7,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,22,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.47,4,3,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.62,4,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,11,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,10,1,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.56,0,1,0
"Return request ignored completely, no one responding",return_not_picked,english,0.91,18,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.67,5,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.82,1,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.31,6,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.94,0,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.46,9,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.36,9,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,24,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.87,10,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,17,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.65,9,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,24,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.72,1,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,9,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,17,1,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,24,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.84,1,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.51,3,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,9,2,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.58,7,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.77,10,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,24,2,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.6,0,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.45,0,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.5,2,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.5,10,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.49,6,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.79,3,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,8,2,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,8,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,1,1,0
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.53,1,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,3,2,0
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.75,1,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,21,2,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.36,2,1,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,14,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.66,2,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.55,6,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.46,3,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.66,4,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.49,1,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.68,7,1,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.46,1,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.59,7,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.41,7,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,4,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.41,10,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,9,4,1
"Return request ignored completely, no one responding",return_not_picked,english,0.78,14,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.64,1,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.42,9,3,1
"Color mismatch in my order, very upset",color_mismatch,english,0.56,1,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.71,20,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.63,0,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.46,4,1,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,17,2,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.79,7,1,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.74,7,3,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.56,10,2,0
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,14,1,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,25,2,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.74,2,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.69,3,3,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,7,2,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.5,3,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,15,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,17,1,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,7,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.91,1,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,19,4,1
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,8,4,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,6,2,0
"Return request ignored completely, no one responding",return_not_picked,english,0.72,6,2,0
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.68,7,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.74,15,4,1
"Fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,3,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.44,6,4,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,12,1,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.4,3,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.62,1,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.59,8,3,1
